                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                0.51503,                0.84444,                0.61208,                0.91328,                0.74435,                0.43787,                0.50404,                0.40932,                0.70173,                0.41935,                0.45345,                0.34371,                0.71292,                 1.9939,                 1.2572,                0.94649,              0.0010663,              0.0010663,              0.0010663
                     93,                0.55075,                0.82354,                0.61411,                 0.9087,                0.74435,                0.43787,                0.50404,                0.40932,                0.70173,                0.41935,                0.45345,                0.34371,                0.71292,                 1.9939,                 1.2572,                0.94649,              0.0010597,              0.0010597,              0.0010597
                     94,                0.53603,                0.84385,                0.58817,                0.90714,                0.63522,                0.48517,                0.50363,                0.40308,                0.86482,                0.40491,                0.47056,                 0.3402,                0.67611,                 2.1723,                 1.2742,                0.92773,              0.0010531,              0.0010531,              0.0010531
                     95,                0.52461,                 0.8126,                0.70325,                0.92209,                0.74406,                0.42273,                0.48891,                0.38826,                0.72396,                0.41063,                0.47023,                0.32941,                0.67474,                 2.2081,                 1.3142,                0.92903,              0.0010465,              0.0010465,              0.0010465
                     96,                0.54338,                0.85794,                0.63533,                0.91985,                0.60608,                0.49681,                0.45637,                0.36664,                 0.5845,                0.47957,                0.43221,                0.29962,                0.72153,                 2.1743,                 1.3791,                0.95426,              0.0010399,              0.0010399,              0.0010399
                     97,                0.56235,                0.93724,                 0.6397,                0.91303,                0.60608,                0.49681,                0.45637,                0.36664,                 0.5845,                0.47957,                0.43221,                0.29962,                0.72153,                 2.1743,                 1.3791,                0.95426,              0.0010333,              0.0010333,              0.0010333
                     98,                0.53115,                 0.8009,                  0.599,                0.89712,                0.58124,                 0.4886,                0.44838,                0.35491,                0.56025,                0.47054,                0.41485,                0.28928,                0.75198,                 2.1117,                 1.3775,                0.98478,              0.0010267,              0.0010267,              0.0010267
                     99,                0.52823,                0.77793,                0.64981,                0.92095,                0.59644,                0.49013,                0.49811,                0.39356,                0.73002,                0.40605,                0.45936,                0.33069,                  0.732,                 1.9455,                 1.2596,                0.98596,              0.0010201,              0.0010201,              0.0010201
                    100,                0.47766,                0.71548,                0.56727,                0.88992,                0.84579,                0.47534,                0.52463,                0.41917,                0.82639,                0.45829,                 0.4904,                0.37635,                0.68206,                 1.8377,                 1.2911,                0.95306,              0.0010135,              0.0010135,              0.0010135
                    101,                0.49208,                0.64158,                0.58468,                0.91591,                0.84579,                0.47534,                0.52463,                0.41917,                0.82639,                0.45829,                 0.4904,                0.37635,                0.68206,                 1.8377,                 1.2911,                0.95306,              0.0010069,              0.0010069,              0.0010069
                    102,                 0.5021,                0.69957,                0.56152,                0.90838,                0.68437,                0.49553,                0.52442,                0.43074,                0.72618,                0.45977,                 0.4853,                0.36487,                0.66194,                 1.8353,                 1.4896,                0.91854,              0.0010003,              0.0010003,              0.0010003
                    103,                0.53262,                0.81477,                0.58958,                 0.9147,                0.68574,                0.48452,                 0.5088,                0.41909,                0.61851,                0.45182,                0.46781,                0.35048,                0.65043,                 1.9147,                 1.5736,                0.91644,             0.00099367,             0.00099367,             0.00099367
